Player,testid,Date,TestName,MetricName,MetricValue
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Propulsive Phase(s),0.28
Player4,juHkY5TGRTEbkuPH8NxL,2022-09-03 18:47,Countermovement Jump,Takeoff Velocity(m/s),3.1864
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Avg. Braking RFD(N/s),9290.5983
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Force at Peak Braking Force(N),1555
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Peak Landing Force(%),8.818
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Braking Phase(s),0.117
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Braking Force(N),3067
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Positive Impulse(N.s),778.6255
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Avg. Braking RFD(N/s),9162.3932
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Propulsive Net Impulse(N.s),335.0548
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Braking Impulse(N.s),255.115
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Force at Peak Braking Force(N),1512
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Relative Braking Net Impulse(N.s/kg),1.6375
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Propulsive Power(W),8220.9339
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Relative Braking Power(W/kg),-22.5093
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Countermovement Depth(m),-0.3541
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Velocity(m/s),2.1279
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Landing Force(N),3198
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Avg. Propulsive Force(N),1232.9667
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Relative Propulsive Power(W/kg),89.4391
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Peak Relative Braking Force(%),340.1347
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,RSI,1.0501
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Left Avg. Landing Force(N),800.5389
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Relative Propulsive Force(%),277.2889
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Braking Power(W),-2068.9764
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Peak Propulsive Force(%),1.474
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,mRSI,0.9365
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Avg. Propulsive Force(N),2500.319
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Impulse Ratio,2.226
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,L|R Avg. Propulsive Force(%),1.3753
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,systemWeight,901.7017
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Relative Peak Landing Force(%),354.6627
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Positive Net Impulse(N.s),485.5724
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Right Avg. Braking Force(N),1109.2137
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Time To Takeoff(s),0.719
Player3,aKnuse2itlmJBmMCqjQY,2022-02-15 16:46,Countermovement Jump,Relative Propulsive Impulse(N.s/kg),5.6955
